0,0
-453,-890
-548,-835
-636,-771
-716,-697
-787,-615
-850,-525
-902,-430
-944,-329
-974,-224
-993,-117
-999,-8
-994,100
-978,208
-949,313
-909,415
-859,511
-798,602
-728,685
-649,760
-562,827
-469,883
-370,929
-267,964
-160,987
-52,999
56,998
165,986
271,962
374,927
473,881
566,824
652,758
731,682
801,598
861,508
911,411
951,309
979,204
995,96
999,-12
992,-121
973,-228
942,-333
900,-433
848,-529
785,-618
713,-700
632,-773
544,-838
450,-892
350,-936
246,-968
139,-989
30,-999
-78,-996
-186,-981
-292,-955
-394,-918
-453,-890
